券種,買い目,odds,id
3連複,5-9-12,4500,20230903_小倉_結果_10
3連複,5-9-10,3000,20230903_小倉_結果_11
3連複,6-8-11,1590,20230903_小倉_結果_12
3連複,2-14-15,109320,20230903_新潟_結果_1
3連複,1-6-12,2830,20230903_新潟_結果_2
3連複,2-4-7,11800,20230903_新潟_結果_3
3連複,1-6-13,93110,20230903_新潟_結果_4
3連複,7-9-11,950,20230903_新潟_結果_5
3連複,5-7-17,10700,20230903_新潟_結果_6
3連複,4-8-10,3270,20230903_新潟_結果_7
3連複,2-12-15,1980,20230903_新潟_結果_8
3連複,5-8-9,19740,20230903_新潟_結果_9
3連複,2-3-6,8030,20230903_新潟_結果_10
3連複,3-8-9,61230,20230903_新潟_結果_11
3連複,4-9-16,31770,20230903_新潟_結果_12
3連複,4-5-11,650,20230903_札幌_結果_1
3連複,1-2-3,4730,20230903_札幌_結果_2
3連複,4-6-8,6250,20230903_札幌_結果_3
3連複,2-4-11,2050,20230903_札幌_結果_4
3連複,7-10-11,29620,20230903_札幌_結果_5
3連複,8-12-14,25380,20230903_札幌_結果_6
3連複,1-6-13,14840,20230903_札幌_結果_7
3連複,5-8-12,4520,20230903_札幌_結果_8
3連複,3-6-11,1420,20230903_札幌_結果_9
3連複,3-9-11,4370,20230903_札幌_結果_10
3連複,2-12-14,34850,20230903_札幌_結果_11
3連複,1-2-8,87610,20230903_札幌_結果_12
3連複,2-5-10,3840,20230909_中山_結果_1
3連複,3-5-10,970,20230909_中山_結果_2
3連複,1-2-6,25550,20230909_中山_結果_3
3連複,5-10-12,12170,20230909_中山_結果_4
3連複,3-9-10,1840,20230909_中山_結果_5
3連複,6-10-12,72970,20230909_中山_結果_6
3連複,2-5-9,7950,20230909_中山_結果_7
3連複,5-6-7,610,20230909_中山_結果_8
3連複,3-6-8,1800,20230909_中山_結果_9
3連複,6-7-9,6360,20230909_中山_結果_10
3連複,2-3-13,20410,20230909_中山_結果_11
3連複,1-4-5,9820,20230909_中山_結果_12
3連複,7-8-9,5870,20230909_阪神_結果_1
3連複,2-6-8,720,20230909_阪神_結果_2
3連複,5-6-7,1240,20230909_阪神_結果_3
3連複,3-4-11,3720,20230909_阪神_結果_4
3連複,1-2-3,170,20230909_阪神_結果_5
3連複,5-7-13,1780,20230909_阪神_結果_6
3連複,2-4-9,3250,20230909_阪神_結果_7
3連複,2-3-8,6070,20230909_阪神_結果_8
3連複,1-2-7,760,20230909_阪神_結果_9
3連複,5-9-13,17350,20230909_阪神_結果_10
3連複,2-5-8,1750,20230909_阪神_結果_11
3連複,4-9-15,98890,20230909_阪神_結果_12
3連複,9-10-16,8410,20230910_中山_結果_1
3連複,1-3-10,6560,20230910_中山_結果_2
3連複,12-15-16,65480,20230910_中山_結果_3
3連複,2-13-15,9400,20230910_中山_結果_4
3連複,6-8-11,2480,20230910_中山_結果_5
3連複,4-6-9,450,20230910_中山_結果_6
3連複,2-10-11,62840,20230910_中山_結果_7
3連複,3-4-5,2410,20230910_中山_結果_8
3連複,1-2-4,2860,20230910_中山_結果_9
